Location,Timestamp,Transmitter_MAC,Receiver_MAC,BSSID,Frame_Type,Signal_dBm,Frequency_MHz,PHY_Type,MCS_Legacy,MCS_WiFi5,MCS_WiFi6,Data_Rate_Mbps
C-203_Pod_CH149,2026-03-31 12:00:50.916156416,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-73,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:50.983937280,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-62,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.096751104,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.117642752,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.117735168,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.172502016,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.197021952,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.236279552,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.256881920,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.262213120,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.262584320,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.287438848,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.353971968,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.426914048,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.427240448,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-66,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.428501504,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.428888320,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.438250240,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.441957888,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.443362048,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.443497472,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.470448128,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.479877120,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.509577984,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.543871232,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.546487808,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-63,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.569327616,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.631947264,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.731057152,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-76,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.732585216,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.734363136,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-61,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.735351040,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.825874176,46:08:e6:18:a9:db,14:96:2d:07:bf:6c,14:96:2d:07:bf:6c,0x0024,-88,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.833847040,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.833902336,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-75,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.881301760,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.883330304,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:51.891400448,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.915112448,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:51.942667264,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-65,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:51.942673920,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-65,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.037765888,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.038081792,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.038369280,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.038521344,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.046405888,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.102491904,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-73,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.140756480,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.141238016,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.186810368,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-79,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.246570240,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.274095360,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0028,-79,5745,5,,,,9.0
C-203_Pod_CH149,2026-03-31 12:00:52.274120704,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.287555584,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x0028,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.345913600,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.346120960,fe:32:8f:16:f0:67,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.352395264,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.355074816,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.365616128,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-77,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.386934784,46:08:e6:18:a9:db,14:96:2d:07:bf:6c,14:96:2d:07:bf:6c,0x0024,-91,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.451790848,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-74,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.452991232,80:84:89:ee:e1:34,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-61,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.552156672,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.652566784,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.678201344,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.700953600,80:84:89:ee:df:72,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.857597184,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.895561984,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.895579904,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.897665024,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.897679616,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.900002048,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.900013568,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,1.0,,13.0
C-203_Pod_CH149,2026-03-31 12:00:52.903032064,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:52.909121280,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:52.940028672,8a:bc:fb:2d:c2:db,14:96:2d:07:98:49,14:96:2d:07:98:49,0x0024,-91,5745,5,,,,6.0
C-203_Pod_CH149,2026-03-31 12:00:52.946306048,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:52.952448768,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:52.960498944,14:96:2d:07:90:a1,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,0x0028,-64,5745,8,,0.0,,6.5
C-203_Pod_CH149,2026-03-31 12:00:52.961902592,50:da:d6:d3:b2:73,14:96:2d:07:90:a1,14:96:2d:07:90:a1,0x002c,-78,5745,5,,,,6.0
